id_restaurant,nom,adresse
rest_01,Pizza Pino,"31 Rue Marbeuf, 75008 Paris"
rest_02,Sushi Shop,"45 Avenue de l'Opéra, 75002 Paris"
rest_03,Big Fernand,"55 Rue du Faubourg Poissonnière, 75009 Paris"
rest_04,Le Bouillon Chartier,"7 Rue du Faubourg Montmartre, 75009 Paris"
rest_05,L'Entrecôte,"101 Boulevard du Montparnasse, 75006 Paris"
rest_06,King Marcel,"31 Rue de la République, 69002 Lyon"
rest_07,Daniel et Denise,"156 Rue de Créqui, 69003 Lyon"
rest_08,Imouto,"21 Rue Pasteur, 69007 Lyon"
rest_09,Le Bistrot du Potager,"12 Place de la Croix-Rousse, 69004 Lyon"
rest_10,Pizzeria Popolare,"111 Rue Réaumur, 75002 Paris"
rest_11,AM par Alexandre Mazzia,"9 Rue François Rocca, 13008 Marseille"
rest_12,Le Petit Nice Passedat,"17 Rue des Braves, 13007 Marseille"
rest_13,La Mercerie,"9 Cours Saint-Louis, 13001 Marseille"
rest_14,Pizzeria La Bonne Mère,"16 Rue Fort du Sanctuaire, 13006 Marseille"
rest_15,O'Tacos,"10 Place de la Victoire, 33000 Bordeaux"
rest_16,Le Quatrième Mur,"2 Place de la Comédie, 33000 Bordeaux"
rest_17,Fufu Ramen,"37 Rue Saint-Rémi, 33000 Bordeaux"
rest_18,Bao Canteen,"23 Rue du Pas-Saint-Georges, 33000 Bordeaux"
rest_19,La Cigale,"4 Place Graslin, 44000 Nantes"
rest_20,Le Nid,"Tour de Bretagne, Place de Bretagne, 44000 Nantes"
rest_21,Fromagerie Beillevaire,"10 Rue de la Fosse, 44000 Nantes"
rest_22,Le Select,"1 Rue de la Clavurerie, 44000 Nantes"
rest_23,Pastis,"5 Rue Masséna, 06000 Nice"
rest_24,Le Plongeoir,"60 Boulevard Franck Pilatte, 06300 Nice"
rest_25,La P'tite Cocotte,"10 Rue Saint-Augustin, 06300 Nice"
rest_26,Le Chantecler,"37 Promenade des Anglais, 06000 Nice"
rest_27,Au Père Louis,"48 Rue des Tourneurs, 31000 Toulouse"
rest_28,L'Alimentation,"4 Place de la Bourse, 31000 Toulouse"
rest_29,Michel Sarran,"21 Boulevard Armand Duportal, 31000 Toulouse"
rest_30,Le J'Go,"16 Place Victor Hugo, 31000 Toulouse"
rest_31,La Maison des Têtes,"19 Rue des Têtes, 68000 Colmar"
rest_32,Le Fer Rouge,"52 Grand'Rue, 68000 Colmar"
rest_33,L'Epicurien,"11 Rue des Écoles, 68000 Colmar"
rest_34,Wistub Brenner,"1 Rue de Turenne, 68000 Colmar"
rest_35,Maison Kammerzell,"16 Place de la Cathédrale, 67000 Strasbourg"
rest_36,Au Pont Corbeau,"21 Quai Saint-Nicolas, 67000 Strasbourg"
rest_37,Les Haras,"23 Rue des Glacières, 67000 Strasbourg"
rest_38,Umami,"22 Rue des Veaux, 67000 Strasbourg"
rest_39,L'Emulsion,"24 Place du Forum, 51100 Reims"
rest_40,Le Foch,"37 Boulevard Foch, 51100 Reims"
rest_41,Le Crypto,"14 Place du Forum, 51100 Reims"
rest_42,Le Millénaire,"4 Rue Bertin, 51100 Reims"
rest_43,Le Pré Vert,"12 Rue de la Trinité, 59000 Lille"
rest_44,Bloempot,"22 Rue des Bouchers, 59800 Lille"
rest_45,L'Huîtrière,"3 Rue des Chats Bossus, 59000 Lille"
rest_46,La Chicorée,"15 Place Rihour, 59800 Lille"
rest_47,Le K Baroque,"10 Rue du Bœuf, 69005 Lyon"
rest_48,La Mère Brazier,"12 Rue Royale, 69001 Lyon"
rest_49,Le Neuvième Art,"173 Rue Cuvier, 69006 Lyon"
rest_50,L'Archange,"6 Rue de l'Arbre Sec, 69001 Lyon"
